rank,prev_rank,name,league,off,def,spi
32,27,Athletic Bilbao,Spanish Primera Division,1.84,0.7,72.08
33,43,Lyon,French Ligue 1,2.17,0.94,72.03
34,36,Sevilla FC,Spanish Primera Division,1.79,0.69,71.45
35,50,Zenit St Petersburg,Russian Premier Liga,2.03,0.87,71.4
36,25,Crystal Palace,Barclays Premier League,1.8,0.7,71.36
37,47,Leicester City,Barclays Premier League,1.97,0.83,71.24
38,53,Rangers,Scottish Premiership,2.07,0.92,70.92
39,34,Real Betis,Spanish Primera Division,1.86,0.76,70.75
40,37,West Ham United,Barclays Premier League,1.92,0.82,70.62
41,44,Stade Rennes,French Ligue 1,1.99,0.88,70.49
42,31,1. FC Union Berlin,German Bundesliga,1.87,0.81,69.98
43,61,Juventus,Italy Serie A,1.95,0.87,69.94
44,35,Lazio,Italy Serie A,2.06,0.96,69.72
45,40,Celtic,Scottish Premiership,2.1,1.0,69.58
46,69,Club Brugge,Belgian Jupiler League,2.07,0.98,69.51
47,54,Marseille,French Ligue 1,1.83,0.8,69.46
48,46,Borussia Monchengladbach,German Bundesliga,2.12,1.02,69.38
49,33,Celta Vigo,Spanish Primera Division,1.77,0.77,69.06
50,39,Mainz,German Bundesliga,1.92,0.89,68.88
51,56,Lille,French Ligue 1,1.76,0.77,68.72
52,45,Newcastle,Barclays Premier League,1.79,0.8,68.65
53,41,Brentford,Barclays Premier League,1.87,0.86,68.58
54,60,Eintracht Frankfurt,German Bundesliga,1.88,0.87,68.47
55,57,VfL Wolfsburg,German Bundesliga,1.91,0.91,68.18
56,58,Valencia,Spanish Primera Division,1.74,0.79,68.04
57,52,SC Freiburg,German Bundesliga,2.0,0.99,67.94
58,55,Wolverhampton,Barclays Premier League,1.77,0.82,67.72
59,42,Fiorentina,Italy Serie A,1.84,0.88,67.61
60,48,Strasbourg,French Ligue 1,1.78,0.84,67.46
61,51,FC Cologne,German Bundesliga,1.89,0.95,66.95
62,63,TSG Hoffenheim,German Bundesliga,2.03,1.07,66.77
63,85,Flamengo,Brasileiro Série A,1.71,0.83,66.23
64,89,Fenerbahce,Turkish Turkcell Super Lig,1.93,1.03,65.7
65,59,Getafe,Spanish Primera Division,1.55,0.73,65.51
66,79,Palmeiras,Brasileiro Série A,1.69,0.85,65.38
67,65,Lens,French Ligue 1,1.74,0.9,65.19
68,70,VfB Stuttgart,German Bundesliga,1.87,1.01,65.13
69,73,Slavia Prague,UEFA Europa Conference League,1.9,1.06,64.66
70,81,Nice,French Ligue 1,1.7,0.89,64.57
71,78,Everton,Barclays Premier League,1.76,0.97,63.82
